solution,factor_level,solution_label,color,plt_x
dry,12,Dry,#4E2A1E,4
nacl000,1,Water,#000000,1
nacl025,6,0.25 M NaCl,#420A68FF,2
nacl050,7,0.50 M NaCl,#932667FF,3
nacl100,8,1.00 M NaCl,#DD513AFF,4
nacl150,9,1.50 M NaCl,#FCA50AFF,5
quinine1000,11,10 mM Quinine,#32CD32,3
sacc20,10,20 mM Saccharine,#D634BC,5
sucrose00,1,Water,#000000,1
sucrose05,2,5% Sucrose,#382A54FF,2
sucrose10,3,10% Sucrose,#395D9CFF,3
sucrose20,4,20% Sucrose,#3497A9FF,4
sucrose30,5,30% Sucrose,#60CEACFF,5
water,1,Water,#000000,1
missing,13,Missing,#FF0000,5
