blockname,experiment,date,subject,cohort,procedure,solution,exclude,exclude_note,block_set,stim_set,deprivation,imaging
2022_04_25_abb01,abb,04/25/2022,abb01,1,multi_s,multi_s,NA,NA,"{4,1,0,2,1,4,3,3,2,0,4,4,0,1,3,2,1,0,2,3,3,4,2,1,3,0,4,0,2,1,4,2,1,0,2,1,0,4,3,3,2,1,4,0,2,3,3,4,1,0,4,2,0,1,4,1,3,0,2,3,1,2,0,3,2,3,4,0,1,4,0,0,2,4,4,3,3,1,2,1,3,0,1,1,0,3,2,4,4,2,0,4,1,2,1,4,3,3,2,0};",NA,fr,tdt
2022_04_25_abb03,abb,04/25/2022,abb03,1,multi_s,multi_s,NA,NA,"{1,0,3,4,4,1,3,0,2,2,3,1,4,0,2,3,0,1,2,4,0,3,0,4,3,2,2,1,1,4,1,2,3,0,4,2,0,1,3,4,0,2,2,3,3,1,4,0,4,1,1,3,0,1,2,0,4,2,4,3,3,3,0,4,4,2,1,1,2,0,4,3,1,0,2,2,1,4,0,3,1,4,1,3,4,3,0,2,2,0,2,3,0,4,1,1,0,3,4,2};",NA,wr,tdt
2022_04_25_abb04,abb,04/25/2022,abb04,1,multi_s,multi_s,NA, ,"{3,4,4,2,1,1,3,2,0,0,4,3,3,1,2,4,2,0,1,0,1,1,3,2,4,3,2,0,0,4,1,3,4,0,0,1,4,2,2,3,0,1,2,4,4,1,3,2,3,0,3,1,4,2,2,0,3,0,1,4,4,4,3,0,3,1,2,1,2,0,2,0,2,4,4,0,3,1,1,3,0,3,4,3,2,2,0,4,1,1,4,1,3,4,2,3,1,0,2,0};",NA,fr,tdt
2022_04_25_abb05,abb,04/25/2022,abb05,1,multi_s,multi_s,NA,NA,"{3,3,0,1,1,2,0,4,2,4,3,4,2,2,0,4,1,1,0,3,0,1,2,4,1,0,3,3,2,4,1,3,2,3,4,1,0,2,4,0,2,3,2,1,3,4,0,4,1,0,1,3,2,0,1,4,3,4,2,0,4,1,1,2,2,0,3,4,3,0,0,4,1,2,3,1,4,0,2,3,2,3,0,4,4,0,1,2,3,1,4,1,2,1,3,4,3,0,2,0};",NA,wr,tdt
2022_04_25_abb06,abb,04/25/2022,abb06,1,multi_s,multi_s,NA,NA,"{0,4,3,1,2,4,1,3,2,0,2,4,0,3,2,3,1,4,1,0,1,4,0,3,2,0,3,4,2,1,0,3,4,1,2,1,4,0,2,3,4,4,1,0,2,2,3,3,0,1,0,4,2,1,1,3,3,0,2,4,4,1,2,0,0,3,2,1,3,4,2,0,4,3,2,0,3,1,4,1,1,4,0,0,4,1,3,2,3,2,4,1,0,0,4,3,1,2,2,3};",NA,fr,tdt
2022_04_26_abb01,abb,04/26/2022,abb01,1,multi_s,multi_s,NA,NA,"{2,4,2,4,0,1,3,1,3,0,4,1,0,3,2,0,1,3,4,2,3,3,0,4,0,2,1,4,2,1,4,2,1,3,0,2,3,0,1,4,4,2,2,3,3,1,0,4,1,0,2,0,2,1,4,4,3,3,1,0,0,2,4,2,3,3,1,1,0,4,2,0,2,3,3,1,0,4,1,4,1,3,2,0,1,0,2,4,3,4,1,0,2,4,2,3,3,0,4,1};",NA,fr,tdt
2022_04_26_abb03,abb,04/26/2022,abb03,1,multi_s,multi_s,NA,NA,"{3,0,1,1,4,2,4,3,0,2,4,1,1,2,3,2,4,0,3,0,3,2,1,0,4,0,1,3,4,2,0,4,2,3,2,4,1,3,0,1,3,1,2,4,4,3,0,2,0,1,4,1,0,1,0,3,2,4,3,2,3,1,3,0,4,2,4,0,1,2,0,2,4,1,0,3,4,3,2,1,2,1,4,4,0,3,1,2,3,0,2,3,1,4,0,1,4,2,3,0};",NA,wr,tdt
2022_04_26_abb04,abb,04/26/2022,abb04,1,multi_s,multi_s,NA, ,"{1,1,3,0,2,0,3,4,4,2,4,4,1,0,2,0,3,2,1,3,1,4,3,2,1,2,0,4,3,0,0,3,4,2,3,1,2,1,4,0,0,0,4,3,2,1,2,3,4,1,1,4,1,2,0,3,2,0,4,3,3,3,0,2,4,1,2,4,0,1,4,3,4,2,3,0,2,1,0,1,3,3,1,0,1,4,0,2,2,4,4,1,4,2,1,3,3,0,0,2};",NA,fr,tdt
2022_04_26_abb05,abb,04/26/2022,abb05,1,multi_s,multi_s,NA, ,"{2,1,1,3,0,3,2,0,4,4,1,4,3,2,4,1,3,0,2,0,3,4,0,3,2,1,1,4,0,2,4,4,3,2,1,0,2,1,3,0,0,4,2,3,0,1,4,3,2,1,4,0,3,1,0,2,4,3,2,1,4,1,4,2,2,0,3,1,3,0,0,3,4,2,2,3,1,1,0,4,3,1,0,2,4,3,2,1,4,0,3,1,3,4,0,4,2,2,0,1};",NA,wr,tdt
2022_04_26_abb06,abb,04/26/2022,abb06,1,multi_s,multi_s,NA, ,"{0,3,1,2,0,2,4,3,4,1,0,2,4,0,1,2,4,3,3,1,2,3,0,0,1,2,1,4,4,3,4,0,0,3,1,2,1,3,4,2,4,2,0,3,3,1,1,0,4,2,0,1,4,2,2,4,3,1,0,3,2,3,0,2,0,1,4,1,3,4,1,4,0,1,2,2,3,4,3,0,1,3,4,0,0,1,3,2,2,4,1,0,4,3,2,3,1,0,4,2};",NA,fr,tdt
