experiment,cohort,date,spout,solution
abb,1,04/25/2022,spout01,sucrose05
abb,1,04/25/2022,spout02,sucrose20
abb,1,04/25/2022,spout03,sucrose00
abb,1,04/25/2022,spout04,sucrose30
abb,1,04/25/2022,spout05,sucrose10
abb,1,04/26/2022,spout01,sucrose30
abb,1,04/26/2022,spout02,sucrose10
abb,1,04/26/2022,spout03,sucrose20
abb,1,04/26/2022,spout04,sucrose00
abb,1,04/26/2022,spout05,sucrose05
abb,1,04/27/2022,spout01,sucrose20
abb,1,04/27/2022,spout02,sucrose30
abb,1,04/27/2022,spout03,sucrose05
abb,1,04/27/2022,spout04,sucrose10
abb,1,04/27/2022,spout05,sucrose00
abb,1,04/28/2022,spout01,sucrose00
abb,1,04/28/2022,spout02,sucrose05
abb,1,04/28/2022,spout03,sucrose10
abb,1,04/28/2022,spout04,sucrose20
abb,1,04/28/2022,spout05,sucrose30
abb,1,05/04/2022,spout01,sucrose30
abb,1,05/04/2022,spout02,sucrose10
abb,1,05/04/2022,spout03,sucrose20
abb,1,05/04/2022,spout04,sucrose00
abb,1,05/04/2022,spout05,sucrose05
abb,1,05/05/2022,spout01,sucrose10
abb,1,05/05/2022,spout02,sucrose00
abb,1,05/05/2022,spout03,sucrose30
abb,1,05/05/2022,spout04,sucrose05
abb,1,05/05/2022,spout05,sucrose20
abb,1,05/06/2022,spout01,sucrose05
abb,1,05/06/2022,spout02,sucrose20
abb,1,05/06/2022,spout03,sucrose00
abb,1,05/06/2022,spout04,sucrose30
abb,1,05/06/2022,spout05,sucrose10
abb,1,05/11/2022,spout01,nacl050
abb,1,05/11/2022,spout02,nacl025
abb,1,05/11/2022,spout03,nacl100
abb,1,05/11/2022,spout04,nacl000
abb,1,05/11/2022,spout05,nacl150
abb,1,05/12/2022,spout01,nacl000
abb,1,05/12/2022,spout02,nacl050
abb,1,05/12/2022,spout03,nacl150
abb,1,05/12/2022,spout04,nacl100
abb,1,05/12/2022,spout05,nacl025
abb,1,05/13/2022,spout01,nacl150
abb,1,05/13/2022,spout02,nacl000
abb,1,05/13/2022,spout03,nacl050
abb,1,05/13/2022,spout04,nacl025
abb,1,05/13/2022,spout05,nacl100
aaw,3,05/25/2022,spout01,sucrose20
aaw,3,05/25/2022,spout02,sucrose30
aaw,3,05/25/2022,spout03,sucrose05
aaw,3,05/25/2022,spout04,sucrose10
aaw,3,05/25/2022,spout05,sucrose00
abb,2,05/25/2022,spout01,sucrose20
abb,2,05/25/2022,spout02,sucrose30
