experiment,subject,target,vector,hemi,rotaiton_adjustment,angle,hit_ap,hit_ml,hit_dv,exclude_da_consumption,exclude_optochar,note
abb,abb07,NAcShL,GRAB DA2m,right,0,10,1.7,1.5,-4.5,0,0,NA
abb,abb07,NAcShM,GRAB DA2m,left,0,10,1.7,0.5,-4.7,0,0,NA
abb,abb08,NAcShL,GRAB DA2m,left,0,10,1.7,1.5,-4.3,0,0,NA
abb,abb08,NAcShM,GRAB DA2m,right,0,10,1.7,0.8,-4.35,0,0,NA
abb,abb09,NAcShL,GRAB DA2m,left,0,10,1.34,1.45,-4.55,0,0,NA
abb,abb09,NAcShM,GRAB DA2m,right,0,10,1.34,0.6,-4.7,0,0,NA
abb,abb10,NAcShL,GRAB DA2m,right,0,10,1.1,1.45,-4.65,0,0,NA
abb,abb10,NAcShM,GRAB DA2m,left,0,10,1.18,0.75,-4.5,0,0,NA
abb,abb11,NAcShL,GRAB DA2m,left,0,10,0.86,1.3,-4.75,0,0,NA
abb,abb11,NAcShM,GRAB DA2m,right,0,10,1.18,0.75,-4.6,0,0,NA
abb,abb12,NAcShL,GRAB DA2m,right,0,10,1.42,1.6,-4.55,0,0,NA
abb,abb12,NAcShM,GRAB DA2m,left,0,10,1.42,0.6,-4.7,0,0,NA
abo,abo01,NAcCR,GRAB DA2m,right,90,10,1.78,0.7,-4.35,0,0,NA
abo,abo01,DMS,GRAB DA2m,right,90,5,0.38,1,-2.9,0,0,NA
abo,abo01,DLS,GRAB DA2m,right,0,5,-0.46,2.7,-3.05,0,0,NA
abo,abo01,TS,GRAB DA2m,right,0,10,-1.94,3.2,-3,0,0,NA
abo,abo01,LHA,Chrimson,right,0,0,-1.7,1,-4.95,0,0,NA
abo,abo01,LHA,Chrimson,left,0,10,-1.7,1.45,-4.95,0,0,NA
abo,abo02,NAcCR,GRAB DA2m,right,90,10,1.78,0.8,-4.25,0,0,NA
abo,abo02,DMS,GRAB DA2m,right,90,5,0.14,1.1,-3.05,0,0,NA
abo,abo02,DLS,GRAB DA2m,right,0,5,-0.58,3,-2.95,0,0,NA
abo,abo02,TS,GRAB DA2m,right,0,10,-1.94,3.3,-3.3,0,0,NA
abo,abo02,LHA,Chrimson,right,0,0,-1.82,1.15,-4.9,0,0,NA
abo,abo02,LHA,Chrimson,left,0,10,-1.82,1.4,-5,0,0,NA
abo,abo03,NAcCR,GRAB DA2m,right,90,10,1.94,0.9,-4.05,0,0,NA
abo,abo03,DMS,GRAB DA2m,right,90,5,0.02,1.35,-2.8,0,0,NA
abo,abo03,DLS,GRAB DA2m,right,0,5,-0.7,2.7,-2.7,0,0,NA
abo,abo03,TS,GRAB DA2m,right,0,10,-2.06,3.2,-3.3,0,0,NA
abo,abo03,LHA,Chrimson,right,0,0,-1.82,1.2,-4.8,0,0,NA
abo,abo03,LHA,Chrimson,left,0,10,-1.82,1.25,-4.75,0,0,NA
abo,abo04,NAcCR,GRAB DA2m,right,90,10,1.94,0.8,-4.15,0,0,NA
abo,abo04,DMS,GRAB DA2m,right,90,5,0.38,1.1,-2.8,0,0,NA
abo,abo04,DLS,GRAB DA2m,right,0,5,-0.46,2.8,-2.8,0,0,NA
abo,abo04,TS,GRAB DA2m,right,0,10,-1.82,3.1,-3.3,0,0,NA
abo,abo04,LHA,Chrimson,right,0,0,-1.58,1,-4.85,0,0,NA
abo,abo04,LHA,Chrimson,left,0,10,-1.58,1.3,-4.65,0,0,NA
aaw,aaw08,LHA,GCaMP6s; jRCaMP1b,left,0,0,-1.82,1.1,-4.9,0,NA,NA
aaw,aaw09,LHA,GCaMP6s; jRCaMP1b,left,0,0,-1.58,1.2,-4.95,0,NA,NA
aaw,aaw10,LHA,GCaMP6s; jRCaMP1b,left,0,0,-1.82,1.25,-4.75,0,NA,NA
aaw,aaw11,LHA,GCaMP6s; jRCaMP1b,left,0,0,-1.82,1.25,-4.9,0,NA,NA
aaw,aaw13,LHA,GCaMP6s; jRCaMP1b,left,0,0,-1.82,1.25,-5.25,0,NA,NA
aaw,aaw14,LHA,GCaMP6s; jRCaMP1b,left,0,0,-1.58,1.1,-5,0,NA,NA
aaw,aaw15,LHA,GCaMP6s; jRCaMP1b,left,0,0,-1.7,1.2,-5,0,NA,NA
aaw,aaw17,LHA,GCaMP6s; jRCaMP1b,left,0,0,-1.7,1.1,-4.9,0,NA,NA
aaw,aaw18,LHA,GCaMP6s; jRCaMP1b,left,0,0,-1.7,1.15,-4.75,0,NA,NA
aaw,aaw19,LHA,GCaMP6s; jRCaMP1b,right,0,0,-1.7,1.1,-5,0,NA,NA
aaw,aaw20,LHA,GCaMP6s; jRCaMP1b,right,0,0,-1.7,1.25,-4.8,0,NA,NA
aaw,aaw22,LHA,GCaMP6s; jRCaMP1b,right,0,0,-1.58,1.1,-5,0,NA,NA
abo,abo05,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,NA,NA,NA,1,1,tissue lost
abo,abo05,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.74,0.7,-4.55,0,0,NA
abo,abo05,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.86,1.65,-4.75,0,0,NA
abo,abo05,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.25,-2.2,0,0,NA
abo,abo05,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.7,2.9,-2.9,0,0,NA
abo,abo05,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.82,3.15,-3.15,0,0,NA
abo,abo05,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.82,0.75,-4.8,0,0,NA
abo,abo05,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.82,1.2,-4.9,0,0,NA
abo,abo06,NAcCR,GRAB DA2m; Chrimson-tdTomato,left,90,10,1.7,0.8,-4.05,0,0,NA
abo,abo06,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.86,0.7,-4.5,0,0,NA
abo,abo06,NAcShL,GRAB DA2m; Chrimson-tdTomato,right,0,10,0.62,1.8,-5.1,0,0,NA
abo,abo06,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.26,1.1,-2.75,0,0,NA
abo,abo06,DLS,GRAB DA2m; Chrimson-tdTomato,left,0,5,-0.94,2.7,-2.65,0,0,NA
abo,abo06,TS,GRAB DA2m; Chrimson-tdTomato,left,0,10,-2.18,3.35,-3.5,0,0,NA
abo,abo06,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.7,1.15,-4.9,0,0,NA
abo,abo06,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-2.06,1.15,-5,0,0,NA
abo,abo07,NAcCR,GRAB DA2m; Chrimson-tdTomato,left,90,10,1.94,0.9,-4.15,0,0,NA
abo,abo07,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.98,0.75,-4.15,0,0,NA
abo,abo07,NAcShL,GRAB DA2m; Chrimson-tdTomato,right,0,10,1.1,1.8,-4.95,0,0,NA
abo,abo07,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.38,1.25,-2.5,0,0,NA
abo,abo07,DLS,GRAB DA2m; Chrimson-tdTomato,left,0,5,-0.46,2.9,-2.9,0,0,NA
abo,abo07,TS,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.82,3.05,-3.6,0,0,NA
abo,abo07,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.58,0.8,-5.15,0,0,NA
abo,abo07,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.82,1,-5,0,0,NA
abo,abo08,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.7,0.85,-4.1,0,0,NA
abo,abo08,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.5,0.9,-4.4,0,0,NA
abo,abo08,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.26,2.3,-4.8,0,0,NA
abo,abo08,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,-0.22,1.4,-2.65,0,0,NA
abo,abo08,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.7,2.5,-3.15,0,0,NA
abo,abo08,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,NA,NA,NA,1,1,cannot locate
abo,abo08,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-2.06,0.85,-4.85,0,0,NA
abo,abo08,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-2.06,1,-4.75,0,0,NA
abo,abo09,NAcCR,GRAB DA2m; Chrimson-tdTomato,left,90,10,1.94,0.9,-4.4,0,0,NA
abo,abo09,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,1.18,0.9,-4.4,0,0,NA
abo,abo09,NAcShL,GRAB DA2m; Chrimson-tdTomato,right,0,10,1.1,2.35,-5,0,0,NA
abo,abo09,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.25,-2.95,0,0,NA
abo,abo09,DLS,GRAB DA2m; Chrimson-tdTomato,left,0,5,-0.7,2.8,-3.1,0,0,NA
abo,abo09,TS,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.82,3.15,-3,0,0,NA
abo,abo09,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.7,1.2,-4.8,0,0,NA
abo,abo09,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.7,0.8,-4.95,0,0,NA
abo,abo10,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.78,0.9,-4.1,0,0,NA
abo,abo10,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,1.1,0.75,-4.25,0,0,NA
abo,abo10,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.86,1.8,-4.95,0,0,NA
abo,abo10,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,-0.22,1.7,-2.6,0,0,NA
abo,abo10,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.82,2.8,-2.8,0,0,NA
abo,abo10,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-2.46,3.5,-2.75,1,1,miss
abo,abo10,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.94,1,-4.8,0,0,NA
abo,abo10,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.94,1,-4.8,0,0,NA
abo,abo11,NAcCR,GRAB DA2m; Chrimson-tdTomato,left,90,10,1.94,1.2,-4.4,1,1,tissue lost
abo,abo11,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,1.18,1,-4.55,0,0,NA
abo,abo11,NAcShL,GRAB DA2m; Chrimson-tdTomato,right,0,10,0.98,2.4,-5,0,0,NA
abo,abo11,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.38,1.35,-2.85,0,0,NA
abo,abo11,DLS,GRAB DA2m; Chrimson-tdTomato,left,0,5,-0.34,2.9,-3.2,0,0,NA
abo,abo11,TS,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.7,3.1,-3.45,0,0,NA
abo,abo11,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.46,1.05,-4.8,0,0,NA
abo,abo11,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.46,0.95,-4.95,0,0,NA
abo,abo12,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.94,0.9,-4.05,0,0,NA
abo,abo12,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.98,0.95,-4.55,0,0,NA
abo,abo12,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.74,2,-5,0,0,NA
abo,abo12,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.4,-2.7,0,0,NA
abo,abo12,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.58,3,-3.05,0,0,NA
abo,abo12,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.82,3.2,-3.1,0,0,NA
abo,abo12,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.82,0.8,-5,0,0,NA
abo,abo12,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.7,1.1,-5,0,0,NA
abo,abo13,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.78,1,-4.3,0,0,NA
abo,abo13,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,1.1,0.8,-4.5,0,0,NA
abo,abo13,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.86,2.25,-5.2,0,0,NA
abo,abo13,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.45,-2.9,0,0,NA
abo,abo13,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.82,2.9,-3,0,0,NA
abo,abo13,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.94,3.1,-3.45,0,0,NA
abo,abo13,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.7,1,-4.8,0,0,NA
abo,abo13,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.7,1.1,-5,0,0,NA
abo,abo14,NAcCR,GRAB DA2m; Chrimson-tdTomato,left,90,10,1.94,0.9,-4.1,0,0,NA
abo,abo14,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,1.1,0.75,-4.5,0,0,NA
abo,abo14,NAcShL,GRAB DA2m; Chrimson-tdTomato,right,0,10,0.74,0.85,-4.8,0,0,NA
abo,abo14,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.02,1.45,-2.9,0,0,NA
abo,abo14,DLS,GRAB DA2m; Chrimson-tdTomato,left,0,5,-0.7,2.8,-2.9,0,0,NA
abo,abo14,TS,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.7,3.05,-3.7,0,0,NA
abo,abo14,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.94,1,-5.05,0,0,NA
abo,abo14,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.7,1.05,-4.8,0,0,NA
acd,acd01,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.94,0.9,-4.1,0,0,NA
acd,acd01,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,1.1,0.8,-4.35,0,0,NA
acd,acd01,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.86,1.7,-4.9,0,0,NA
acd,acd01,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.02,1.4,-2.5,0,0,NA
acd,acd01,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.82,2.75,-2.8,0,0,NA
acd,acd01,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.82,3.15,-3.35,0,0,NA
acd,acd01,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.58,0.95,-4.65,0,0,NA
acd,acd01,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.58,1,-4.6,0,0,NA
acd,acd02,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.94,0.9,-4.05,0,0,NA
acd,acd02,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.86,0.65,-4.4,0,0,NA
acd,acd02,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.62,2.2,-4.9,0,0,NA
acd,acd02,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.25,-2.65,0,0,NA
acd,acd02,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.7,2.5,-3.1,0,0,NA
acd,acd02,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.7,3.1,-2.95,0,0,NA
acd,acd02,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.46,1.05,-4.8,0,0,NA
acd,acd02,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.82,0.8,-4.7,0,0,NA
acd,acd03,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.94,0.9,-4.05,0,0,NA
acd,acd03,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.98,0.7,-4.3,0,0,NA
