blockname,experiment,subject,date,procedure,exclude,exclude_note,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PCA,multi_config,fiber_id01,fiber_id02,blockname_multi_subject,trim_time_start,trim_time_end,signal_id01,signal_id02,control_id,sensor01,sensor02,smoothing_window,poly_degree_fitted_control,poly_degree_polyfit,down_sampled_freq,peth_pre,peth_post,events_of_interest,n_remove_first_events,n_remove_last_events,events_manual_fn
2022_04_25_abb01,abb,abb01,4/25/2022,NA,1,signal looks good but licking was low record next 3d for avg; almost no licking,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_25_abb03,abb,abb03,4/25/2022,NA,1,signal looks good but licking was low record next 3d for avg,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_25_abb04,abb,abb04,4/25/2022,NA,1,signal looks good but licking was low record next 3d for avg,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_25_abb05,abb,abb05,4/25/2022,NA,1,signal looks good but licking was low record next 3d for avg,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_25_abb06,abb,abb06,4/25/2022,NA,1,signal looks good but licking was low record next 3d for avg,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_26_abb01,abb,abb01,4/26/2022,NA,0,NA,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_26_abb03,abb,abb03,4/26/2022,NA,0,NA,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_26_abb04,abb,abb04,4/26/2022,NA,0,NA,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_26_abb05,abb,abb05,4/26/2022,NA,0,NA,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_26_abb06,abb,abb06,4/26/2022,NA,0,NA,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_27_abb01,abb,abb01,4/27/2022,NA,0,NA,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_27_abb03,abb,abb03,4/27/2022,NA,0,NA,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_27_abb04,abb,abb04,4/27/2022,NA,0,NA,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
2022_04_27_abb05,abb,abb05,4/27/2022,NA,0,NA,lick01,lick02,lick03,lick04,lick05,access_period,NA,NA,NA,multi_site,nacsh_med,nacsh_lat,NA,20,NA,465,NA,405,grabda_1h,NA,0.1,3,4,20,10,20,lick_onset; access_period,NA,NA,NA
